HostID,CloudRegion,MemoryUtilization_Pct,NetworkThroughput_GB,HourlyCost_USD
HOST-00939,AWS_ap-northeast-1,37.4,38.24,0.64
HOST-00940,AWS_us-east-1,57.6,113.28,0.52
HOST-00941,Azure_westeurope,19.4,80.3,0.45
HOST-00942,AWS_ap-northeast-1,23.7,6.86,0.64
HOST-00943,AWS_us-east-1,77.3,82.57,0.52
HOST-00944,Azure_westeurope,92.4,135.11,0.45
HOST-00945,AWS_ap-northeast-1,51.6,87.69,0.64
HOST-00946,AWS_us-east-1,21.1,25.47,0.52
HOST-00947,Azure_westeurope,54.2,51.12,0.45
HOST-00948,AWS_ap-northeast-1,90.9,24.93,0.64
HOST-00949,AWS_us-east-1,87.2,45.37,0.52
HOST-00950,Azure_westeurope,68.0,112.91,0.45
HOST-00951,AWS_ap-northeast-1,90.3,6.02,0.64
HOST-00952,AWS_us-east-1,59.3,28.32,0.52
HOST-00953,Azure_westeurope,10.1,90.94,0.45
HOST-00954,AWS_ap-northeast-1,87.2,15.91,0.64
HOST-00955,AWS_us-east-1,27.9,33.33,0.52
HOST-00956,Azure_westeurope,11.1,137.15,0.45
HOST-00957,AWS_ap-northeast-1,45.6,35.39,0.64
HOST-00958,AWS_us-east-1,83.1,74.92,0.52
HOST-00959,Azure_westeurope,38.9,7.29,0.45
HOST-00960,AWS_ap-northeast-1,37.0,44.45,0.64
HOST-00961,AWS_us-east-1,37.5,22.63,0.52
HOST-00962,Azure_westeurope,48.0,77.45,0.45
HOST-00963,AWS_ap-northeast-1,73.9,50.44,0.64
HOST-00964,AWS_us-east-1,62.5,6.99,0.52
HOST-00965,Azure_westeurope,28.1,71.24,0.45
HOST-00966,AWS_ap-northeast-1,39.0,38.75,0.64
HOST-00967,AWS_us-east-1,51.7,88.55,0.52
HOST-00968,Azure_westeurope,71.8,18.13,0.45
HOST-00969,AWS_ap-northeast-1,87.7,108.48,0.64
HOST-00970,AWS_us-east-1,61.3,42.65,0.52
HOST-00971,Azure_westeurope,40.6,23.73,0.45
HOST-00972,AWS_ap-northeast-1,93.3,29.57,0.64
HOST-00973,AWS_us-east-1,23.6,13.12,0.52
HOST-00974,Azure_westeurope,84.6,133.08,0.45
HOST-00975,AWS_ap-northeast-1,42.1,37.82,0.64
HOST-00976,AWS_us-east-1,90.5,36.41,0.52
HOST-00977,Azure_westeurope,24.6,61.16,0.45
HOST-00978,AWS_ap-northeast-1,42.6,53.29,0.64
HOST-00979,AWS_us-east-1,15.5,31.82,0.52
HOST-00980,Azure_westeurope,86.5,125.53,0.45
HOST-00981,AWS_ap-northeast-1,21.1,99.61,0.64
HOST-00982,AWS_us-east-1,59.6,20.93,0.52
HOST-00983,Azure_westeurope,28.9,70.02,0.45
HOST-00984,AWS_ap-northeast-1,91.0,11.51,0.64
HOST-00985,AWS_us-east-1,66.9,15.52,0.52
HOST-00986,Azure_westeurope,48.8,44.91,0.45
HOST-00987,AWS_ap-northeast-1,12.6,36.72,0.64
HOST-00988,AWS_us-east-1,19.6,77.11,0.52
HOST-00989,Azure_westeurope,64.3,39.93,0.45
HOST-00990,AWS_ap-northeast-1,49.0,8.09,0.64
HOST-00991,AWS_us-east-1,73.0,7.02,0.52
HOST-00992,Azure_westeurope,64.0,16.83,0.45
HOST-00993,AWS_ap-northeast-1,13.7,7.76,0.64
HOST-00994,AWS_us-east-1,12.8,127.51,0.52
HOST-00995,Azure_westeurope,33.6,9.77,0.45
HOST-00996,AWS_ap-northeast-1,58.3,26.55,0.64
HOST-00997,AWS_us-east-1,25.7,52.76,0.52
HOST-00998,Azure_westeurope,50.2,13.36,0.45
HOST-00999,AWS_ap-northeast-1,72.0,7.67,0.64
HOST-01000,AWS_us-east-1,45.1,10.72,0.52
HOST-01001,Azure_westeurope,18.7,14.39,0.45
HOST-01002,AWS_ap-northeast-1,49.5,68.02,0.64
HOST-01003,AWS_us-east-1,66.4,15.99,0.52
HOST-01004,Azure_westeurope,92.6,119.56,0.45
HOST-01005,AWS_ap-northeast-1,88.6,27.22,0.64
HOST-01006,AWS_us-east-1,76.4,104.41,0.52
HOST-01007,Azure_westeurope,75.6,116.32,0.45
HOST-01008,AWS_ap-northeast-1,65.3,19.82,0.64
HOST-01009,AWS_us-east-1,36.5,49.88,0.52
HOST-01010,Azure_westeurope,31.6,15.0,0.45
HOST-01011,AWS_ap-northeast-1,62.2,95.2,0.64
HOST-01012,AWS_us-east-1,41.6,124.31,0.52
HOST-01013,Azure_westeurope,50.9,100.22,0.45
HOST-01014,AWS_ap-northeast-1,62.4,55.81,0.64
HOST-01015,AWS_us-east-1,16.9,50.78,0.52
HOST-01016,Azure_westeurope,31.2,47.73,0.45
HOST-01017,AWS_ap-northeast-1,20.1,21.91,0.64
HOST-01018,AWS_us-east-1,28.0,61.73,0.52
HOST-01019,Azure_westeurope,87.7,49.99,0.45
HOST-01020,AWS_ap-northeast-1,68.8,19.53,0.64
HOST-01021,AWS_us-east-1,43.4,23.28,0.52
HOST-01022,Azure_westeurope,84.5,10.11,0.45
HOST-01023,AWS_ap-northeast-1,27.6,56.63,0.64
HOST-01024,AWS_us-east-1,67.6,77.77,0.52
HOST-01025,Azure_westeurope,76.2,42.63,0.45
HOST-01026,AWS_ap-northeast-1,41.6,71.14,0.64
HOST-01027,AWS_us-east-1,38.5,25.23,0.52
HOST-01028,Azure_westeurope,40.2,46.78,0.45
HOST-01029,AWS_ap-northeast-1,43.7,83.86,0.64
HOST-01030,AWS_us-east-1,21.0,107.82,0.52
HOST-01031,Azure_westeurope,49.2,89.62,0.45
HOST-01032,AWS_ap-northeast-1,89.5,183.32,0.64
HOST-01033,AWS_us-east-1,62.4,10.11,0.52
HOST-01034,Azure_westeurope,69.5,23.0,0.45
HOST-01035,AWS_ap-northeast-1,41.1,22.87,0.64
HOST-01036,AWS_us-east-1,95.0,43.94,0.52
HOST-01037,Azure_westeurope,76.7,62.65,0.45
HOST-01038,AWS_ap-northeast-1,57.0,32.24,0.64
HOST-01039,AWS_us-east-1,43.9,103.98,0.52
HOST-01040,Azure_westeurope,51.2,18.64,0.45
HOST-01041,AWS_ap-northeast-1,51.2,25.64,0.64
HOST-01042,AWS_us-east-1,91.4,39.92,0.52
HOST-01043,Azure_westeurope,92.6,233.9,0.45
HOST-01044,AWS_ap-northeast-1,79.3,60.81,0.64
HOST-01045,AWS_us-east-1,85.8,37.08,0.52
HOST-01046,Azure_westeurope,89.6,103.45,0.45
HOST-01047,AWS_ap-northeast-1,85.8,80.82,0.64
HOST-01048,AWS_us-east-1,12.5,70.95,0.52
HOST-01049,Azure_westeurope,58.4,40.07,0.45
HOST-01050,AWS_ap-northeast-1,60.3,5.99,0.64
HOST-01051,AWS_us-east-1,17.4,88.59,0.52
HOST-01052,Azure_westeurope,65.5,40.8,0.45
HOST-01053,AWS_ap-northeast-1,55.0,47.88,0.64
HOST-01054,AWS_us-east-1,69.4,59.93,0.52
HOST-01055,Azure_westeurope,51.3,24.69,0.45
HOST-01056,AWS_ap-northeast-1,65.2,15.41,0.64
HOST-01057,AWS_us-east-1,73.9,8.74,0.52
HOST-01058,Azure_westeurope,37.6,6.16,0.45
HOST-01059,AWS_ap-northeast-1,70.9,172.77,0.64
HOST-01060,AWS_us-east-1,14.4,88.27,0.52
HOST-01061,Azure_westeurope,52.8,24.26,0.45
HOST-01062,AWS_ap-northeast-1,71.9,80.83,0.64
HOST-01063,AWS_us-east-1,71.1,21.32,0.52
HOST-01064,Azure_westeurope,14.5,128.77,0.45
HOST-01065,AWS_ap-northeast-1,38.2,83.28,0.64
HOST-01066,AWS_us-east-1,16.2,25.55,0.52
HOST-01067,Azure_westeurope,88.6,164.87,0.45
HOST-01068,AWS_ap-northeast-1,73.2,70.87,0.64
HOST-01069,AWS_us-east-1,72.3,59.98,0.52
HOST-01070,Azure_westeurope,93.4,22.15,0.45
HOST-01071,AWS_ap-northeast-1,87.9,36.61,0.64
HOST-01072,AWS_us-east-1,81.2,14.75,0.52
HOST-01073,Azure_westeurope,39.9,92.32,0.45
HOST-01074,AWS_ap-northeast-1,51.9,20.02,0.64
HOST-01075,AWS_us-east-1,14.3,24.39,0.52
HOST-01076,Azure_westeurope,74.5,48.37,0.45
HOST-01077,AWS_ap-northeast-1,54.1,115.44,0.64
HOST-01078,AWS_us-east-1,52.6,17.95,0.52
HOST-01079,Azure_westeurope,94.9,12.79,0.45
HOST-01080,AWS_ap-northeast-1,54.7,23.89,0.64
HOST-01081,AWS_us-east-1,92.4,100.56,0.52
HOST-01082,Azure_westeurope,18.7,77.08,0.45
HOST-01083,AWS_ap-northeast-1,82.3,14.09,0.64
HOST-01084,AWS_us-east-1,17.8,81.39,0.52
HOST-01085,Azure_westeurope,83.7,8.87,0.45
HOST-01086,AWS_ap-northeast-1,59.3,24.88,0.64
HOST-01087,AWS_us-east-1,17.8,100.22,0.52
HOST-01088,Azure_westeurope,23.8,48.57,0.45
HOST-01089,AWS_ap-northeast-1,51.9,34.98,0.64
HOST-01090,AWS_us-east-1,73.8,44.75,0.52
HOST-01091,Azure_westeurope,47.3,40.93,0.45
HOST-01092,AWS_ap-northeast-1,83.6,15.57,0.64
HOST-01093,AWS_us-east-1,75.1,8.96,0.52
HOST-01094,Azure_westeurope,36.8,10.53,0.45
HOST-01095,AWS_ap-northeast-1,93.2,11.01,0.64
HOST-01096,AWS_us-east-1,57.5,146.47,0.52
HOST-01097,Azure_westeurope,55.3,104.18,0.45
HOST-01098,AWS_ap-northeast-1,65.8,16.27,0.64
HOST-01099,AWS_us-east-1,61.6,10.93,0.52
HOST-01100,Azure_westeurope,39.1,220.21,0.45
HOST-01101,AWS_ap-northeast-1,39.4,149.44,0.64
HOST-01102,AWS_us-east-1,30.5,54.52,0.52
HOST-01103,Azure_westeurope,37.6,14.77,0.45
HOST-01104,AWS_ap-northeast-1,78.2,38.54,0.64
HOST-01105,AWS_us-east-1,13.0,17.82,0.52
HOST-01106,Azure_westeurope,60.9,27.57,0.45
HOST-01107,AWS_ap-northeast-1,48.1,125.05,0.64
HOST-01108,AWS_us-east-1,75.2,18.97,0.52
HOST-01109,Azure_westeurope,29.9,23.77,0.45
HOST-01110,AWS_ap-northeast-1,70.3,124.27,0.64
HOST-01111,AWS_us-east-1,82.2,29.48,0.52
HOST-01112,Azure_westeurope,92.8,42.07,0.45
HOST-01113,AWS_ap-northeast-1,63.6,7.62,0.64
HOST-01114,AWS_us-east-1,69.0,28.61,0.52
HOST-01115,Azure_westeurope,10.8,63.74,0.45
HOST-01116,AWS_ap-northeast-1,25.3,82.13,0.64
HOST-01117,AWS_us-east-1,53.5,90.25,0.52
HOST-01118,Azure_westeurope,89.4,18.22,0.45
HOST-01119,AWS_ap-northeast-1,77.6,26.64,0.64
HOST-01120,AWS_us-east-1,55.9,44.57,0.52
HOST-01121,Azure_westeurope,20.7,85.77,0.45
HOST-01122,AWS_ap-northeast-1,58.4,270.76,0.64
HOST-01123,AWS_us-east-1,18.4,76.86,0.52
HOST-01124,Azure_westeurope,56.0,28.21,0.45
HOST-01125,AWS_ap-northeast-1,25.8,17.49,0.64
HOST-01126,AWS_us-east-1,89.6,26.36,0.52
HOST-01127,Azure_westeurope,29.3,9.3,0.45
HOST-01128,AWS_ap-northeast-1,57.0,40.57,0.64
HOST-01129,AWS_us-east-1,84.3,103.48,0.52
HOST-01130,Azure_westeurope,64.3,6.64,0.45
HOST-01131,AWS_ap-northeast-1,69.1,51.82,0.64
HOST-01132,AWS_us-east-1,74.2,126.84,0.52
HOST-01133,Azure_westeurope,84.5,9.35,0.45
HOST-01134,AWS_ap-northeast-1,56.7,37.87,0.64
HOST-01135,AWS_us-east-1,79.9,9.91,0.52
HOST-01136,Azure_westeurope,68.9,65.73,0.45
HOST-01137,AWS_ap-northeast-1,34.1,41.21,0.64
HOST-01138,AWS_us-east-1,25.7,93.67,0.52
HOST-01139,Azure_westeurope,86.4,38.5,0.45
HOST-01140,AWS_ap-northeast-1,90.6,52.43,0.64
HOST-01141,AWS_us-east-1,18.2,11.46,0.52
HOST-01142,Azure_westeurope,20.7,51.46,0.45
HOST-01143,AWS_ap-northeast-1,13.9,8.92,0.64
HOST-01144,AWS_us-east-1,70.3,58.05,0.52
HOST-01145,Azure_westeurope,61.8,107.46,0.45
HOST-01146,AWS_ap-northeast-1,30.0,20.09,0.64
HOST-01147,AWS_us-east-1,66.6,84.22,0.52
HOST-01148,Azure_westeurope,62.0,52.96,0.45
HOST-01149,AWS_ap-northeast-1,16.1,27.38,0.64
HOST-01150,AWS_us-east-1,83.6,121.18,0.52
HOST-01151,Azure_westeurope,61.7,8.32,0.45
HOST-01152,AWS_ap-northeast-1,46.1,109.96,0.64
HOST-01153,AWS_us-east-1,88.5,17.82,0.52
HOST-01154,Azure_westeurope,83.4,72.06,0.45
HOST-01155,AWS_ap-northeast-1,35.1,134.33,0.64
HOST-01156,AWS_us-east-1,45.4,49.66,0.52
HOST-01157,Azure_westeurope,61.5,54.07,0.45
HOST-01158,AWS_ap-northeast-1,85.3,5.25,0.64
HOST-01159,AWS_us-east-1,44.9,113.21,0.52
HOST-01160,Azure_westeurope,43.8,137.16,0.45
HOST-01161,AWS_ap-northeast-1,33.4,20.19,0.64
HOST-01162,AWS_us-east-1,44.1,34.32,0.52
HOST-01163,Azure_westeurope,33.8,16.15,0.45
HOST-01164,AWS_ap-northeast-1,10.3,32.6,0.64
HOST-01165,AWS_us-east-1,62.6,30.94,0.52
HOST-01166,Azure_westeurope,52.1,22.95,0.45
HOST-01167,AWS_ap-northeast-1,48.9,187.82,0.64
HOST-01168,AWS_us-east-1,58.5,24.93,0.52
HOST-01169,Azure_westeurope,40.6,77.53,0.45
HOST-01170,AWS_ap-northeast-1,92.4,115.81,0.64
HOST-01171,AWS_us-east-1,93.8,18.57,0.52
HOST-01172,Azure_westeurope,93.2,117.71,0.45
HOST-01173,AWS_ap-northeast-1,46.0,27.01,0.64
HOST-01174,AWS_us-east-1,43.3,67.74,0.52
HOST-01175,Azure_westeurope,35.4,227.12,0.45
HOST-01176,AWS_ap-northeast-1,40.5,67.97,0.64
HOST-01177,AWS_us-east-1,33.5,38.49,0.52
HOST-01178,Azure_westeurope,66.0,12.14,0.45
HOST-01179,AWS_ap-northeast-1,75.6,31.02,0.64
HOST-01180,AWS_us-east-1,42.6,16.96,0.52
HOST-01181,Azure_westeurope,58.2,32.39,0.45
HOST-01182,AWS_ap-northeast-1,13.9,220.18,0.64
HOST-01183,AWS_us-east-1,10.1,31.65,0.52
HOST-01184,Azure_westeurope,52.3,85.42,0.45
HOST-01185,AWS_ap-northeast-1,24.1,18.82,0.64
HOST-01186,AWS_us-east-1,61.5,236.46,0.52
HOST-01187,Azure_westeurope,46.5,20.32,0.45
HOST-01188,AWS_ap-northeast-1,59.8,58.73,0.64
HOST-01189,AWS_us-east-1,35.0,124.52,0.52
HOST-01190,Azure_westeurope,91.5,36.57,0.45
HOST-01191,AWS_ap-northeast-1,19.2,41.54,0.64
HOST-01192,AWS_us-east-1,74.1,92.52,0.52
HOST-01193,Azure_westeurope,15.0,17.28,0.45
HOST-01194,AWS_ap-northeast-1,15.9,29.72,0.64
HOST-01195,AWS_us-east-1,74.3,54.06,0.52
HOST-01196,Azure_westeurope,81.2,75.07,0.45
HOST-01197,AWS_ap-northeast-1,15.2,55.26,0.64
HOST-01198,AWS_us-east-1,73.0,30.96,0.52
HOST-01199,Azure_westeurope,31.2,19.61,0.45
HOST-01200,AWS_ap-northeast-1,45.1,30.27,0.64
HOST-01201,AWS_us-east-1,34.6,38.76,0.52
HOST-01202,Azure_westeurope,71.7,182.7,0.45
HOST-01203,AWS_ap-northeast-1,43.0,27.39,0.64
HOST-01204,AWS_us-east-1,37.2,105.01,0.52
HOST-01205,Azure_westeurope,21.2,24.8,0.45
HOST-01206,AWS_ap-northeast-1,66.2,29.24,0.64
HOST-01207,AWS_us-east-1,52.0,13.45,0.52
HOST-01208,Azure_westeurope,75.7,34.86,0.45
HOST-01209,AWS_ap-northeast-1,67.1,66.71,0.64
HOST-01210,AWS_us-east-1,18.6,125.65,0.52
HOST-01211,Azure_westeurope,88.9,18.02,0.45
HOST-01212,AWS_ap-northeast-1,71.2,65.57,0.64
HOST-01213,AWS_us-east-1,11.3,25.49,0.52
HOST-01214,Azure_westeurope,20.8,94.39,0.45
HOST-01215,AWS_ap-northeast-1,45.9,85.05,0.64
HOST-01216,AWS_us-east-1,69.1,24.6,0.52
HOST-01217,Azure_westeurope,94.4,106.79,0.45
HOST-01218,AWS_ap-northeast-1,70.1,38.87,0.64
HOST-01219,AWS_us-east-1,93.0,21.45,0.52
HOST-01220,Azure_westeurope,75.9,35.33,0.45
HOST-01221,AWS_ap-northeast-1,12.0,25.38,0.64
HOST-01222,AWS_us-east-1,31.3,34.88,0.52
HOST-01223,Azure_westeurope,63.0,85.29,0.45
HOST-01224,AWS_ap-northeast-1,93.7,39.9,0.64
HOST-01225,AWS_us-east-1,27.4,25.52,0.52
HOST-01226,Azure_westeurope,68.8,49.92,0.45
HOST-01227,AWS_ap-northeast-1,48.8,100.45,0.64
HOST-01228,AWS_us-east-1,50.6,80.06,0.52
HOST-01229,Azure_westeurope,43.1,21.16,0.45
HOST-01230,AWS_ap-northeast-1,58.3,129.73,0.64
HOST-01231,AWS_us-east-1,88.4,56.22,0.52
HOST-01232,Azure_westeurope,81.5,44.71,0.45
HOST-01233,AWS_ap-northeast-1,82.7,62.09,0.64
HOST-01234,AWS_us-east-1,79.1,58.66,0.52
HOST-01235,Azure_westeurope,14.8,107.69,0.45
HOST-01236,AWS_ap-northeast-1,56.6,19.4,0.64
HOST-01237,AWS_us-east-1,50.4,18.83,0.52
HOST-01238,Azure_westeurope,71.8,177.48,0.45
HOST-01239,AWS_ap-northeast-1,10.4,24.19,0.64
HOST-01240,AWS_us-east-1,94.9,18.05,0.52
HOST-01241,Azure_westeurope,52.3,158.96,0.45
HOST-01242,AWS_ap-northeast-1,34.9,37.08,0.64
HOST-01243,AWS_us-east-1,28.4,151.2,0.52
HOST-01244,Azure_westeurope,82.6,6.58,0.45
HOST-01245,AWS_ap-northeast-1,66.2,42.08,0.64
HOST-01246,AWS_us-east-1,73.4,15.33,0.52
HOST-01247,Azure_westeurope,92.5,30.76,0.45
HOST-01248,AWS_ap-northeast-1,68.6,52.8,0.64
HOST-01249,AWS_us-east-1,32.8,53.57,0.52
HOST-01250,Azure_westeurope,57.4,382.76,0.45
HOST-01251,AWS_ap-northeast-1,15.7,71.28,0.64
HOST-01252,AWS_us-east-1,81.1,33.7,0.52
HOST-01253,Azure_westeurope,64.5,35.88,0.45
HOST-01254,AWS_ap-northeast-1,71.7,229.7,0.64
HOST-01255,AWS_us-east-1,60.7,7.79,0.52
HOST-01256,Azure_westeurope,78.1,48.27,0.45
HOST-01257,AWS_ap-northeast-1,92.4,26.98,0.64
HOST-01258,AWS_us-east-1,36.7,90.16,0.52
HOST-01259,Azure_westeurope,87.7,208.12,0.45
HOST-01260,AWS_ap-northeast-1,44.5,126.7,0.64
HOST-01261,AWS_us-east-1,62.4,9.42,0.52
HOST-01262,Azure_westeurope,85.3,26.42,0.45
HOST-01263,AWS_ap-northeast-1,18.6,18.5,0.64
HOST-01264,AWS_us-east-1,55.5,92.99,0.52
HOST-01265,Azure_westeurope,67.0,21.24,0.45
HOST-01266,AWS_ap-northeast-1,33.3,10.17,0.64
HOST-01267,AWS_us-east-1,24.2,16.62,0.52
HOST-01268,Azure_westeurope,72.8,49.97,0.45
HOST-01269,AWS_ap-northeast-1,30.3,62.69,0.64
HOST-01270,AWS_us-east-1,48.3,8.86,0.52
HOST-01271,Azure_westeurope,15.9,126.6,0.45
HOST-01272,AWS_ap-northeast-1,47.4,140.37,0.64
HOST-01273,AWS_us-east-1,65.6,13.3,0.52
HOST-01274,Azure_westeurope,63.3,60.44,0.45
HOST-01275,AWS_ap-northeast-1,80.6,328.53,0.64
HOST-01276,AWS_us-east-1,48.1,69.04,0.52
HOST-01277,Azure_westeurope,50.9,93.9,0.45
HOST-01278,AWS_ap-northeast-1,48.9,90.76,0.64
HOST-01279,AWS_us-east-1,33.7,168.94,0.52
HOST-01280,Azure_westeurope,16.7,12.38,0.45
HOST-01281,AWS_ap-northeast-1,44.6,75.44,0.64
HOST-01282,AWS_us-east-1,72.1,22.32,0.52
HOST-01283,Azure_westeurope,89.1,123.61,0.45
HOST-01284,AWS_ap-northeast-1,58.8,11.33,0.64
HOST-01285,AWS_us-east-1,47.6,24.02,0.52
HOST-01286,Azure_westeurope,51.8,22.76,0.45
HOST-01287,AWS_ap-northeast-1,11.6,158.12,0.64
HOST-01288,AWS_us-east-1,94.3,32.65,0.52
HOST-01289,Azure_westeurope,43.8,80.0,0.45
HOST-01290,AWS_ap-northeast-1,54.3,47.08,0.64
HOST-01291,AWS_us-east-1,61.0,6.72,0.52
HOST-01292,Azure_westeurope,50.7,210.71,0.45
HOST-01293,AWS_ap-northeast-1,94.5,44.72,0.64
HOST-01294,AWS_us-east-1,30.0,51.42,0.52
HOST-01295,Azure_westeurope,88.8,103.81,0.45
HOST-01296,AWS_ap-northeast-1,13.1,58.08,0.64
HOST-01297,AWS_us-east-1,71.3,23.24,0.52
HOST-01298,Azure_westeurope,27.3,60.87,0.45
HOST-01299,AWS_ap-northeast-1,30.2,42.53,0.64
HOST-01300,AWS_us-east-1,31.6,26.12,0.52
HOST-01301,Azure_westeurope,78.4,181.85,0.45
HOST-01302,AWS_ap-northeast-1,61.1,96.91,0.64
HOST-01303,AWS_us-east-1,31.5,111.07,0.52
HOST-01304,Azure_westeurope,15.9,17.98,0.45
HOST-01305,AWS_ap-northeast-1,52.3,7.74,0.64
HOST-01306,AWS_us-east-1,50.4,13.75,0.52
HOST-01307,Azure_westeurope,59.5,45.59,0.45
HOST-01308,AWS_ap-northeast-1,35.8,56.02,0.64
HOST-01309,AWS_us-east-1,77.7,9.8,0.52
HOST-01310,Azure_westeurope,49.6,33.95,0.45
HOST-01311,AWS_ap-northeast-1,81.9,122.77,0.64
HOST-01312,AWS_us-east-1,16.3,11.51,0.52
HOST-01313,Azure_westeurope,49.5,6.1,0.45
HOST-01314,AWS_ap-northeast-1,40.9,23.12,0.64
HOST-01315,AWS_us-east-1,54.4,27.18,0.52
HOST-01316,Azure_westeurope,63.1,52.39,0.45
HOST-01317,AWS_ap-northeast-1,33.5,10.6,0.64
HOST-01318,AWS_us-east-1,33.0,24.62,0.52
HOST-01319,Azure_westeurope,91.3,14.1,0.45
HOST-01320,AWS_ap-northeast-1,21.9,131.72,0.64
HOST-01321,AWS_us-east-1,70.2,6.69,0.52
HOST-01322,Azure_westeurope,55.7,11.71,0.45
HOST-01323,AWS_ap-northeast-1,73.6,37.77,0.64
HOST-01324,AWS_us-east-1,27.9,137.61,0.52
HOST-01325,Azure_westeurope,17.0,20.12,0.45
HOST-01326,AWS_ap-northeast-1,20.7,16.8,0.64
HOST-01327,AWS_us-east-1,48.3,65.27,0.52
HOST-01328,Azure_westeurope,92.4,49.33,0.45
HOST-01329,AWS_ap-northeast-1,35.9,25.8,0.64
HOST-01330,AWS_us-east-1,61.0,19.94,0.52
HOST-01331,Azure_westeurope,20.3,92.65,0.45
HOST-01332,AWS_ap-northeast-1,49.4,93.97,0.64
HOST-01333,AWS_us-east-1,53.9,24.69,0.52
HOST-01334,Azure_westeurope,53.0,77.41,0.45
HOST-01335,AWS_ap-northeast-1,71.4,45.85,0.64
HOST-01336,AWS_us-east-1,32.5,116.74,0.52
HOST-01337,Azure_westeurope,27.9,137.92,0.45
HOST-01338,AWS_ap-northeast-1,45.1,42.22,0.64
HOST-01339,AWS_us-east-1,88.5,29.9,0.52
HOST-01340,Azure_westeurope,60.9,6.12,0.45
HOST-01341,AWS_ap-northeast-1,83.9,28.59,0.64
HOST-01342,AWS_us-east-1,32.4,18.75,0.52
HOST-01343,Azure_westeurope,65.5,13.34,0.45
HOST-01344,AWS_ap-northeast-1,10.6,79.19,0.64
HOST-01345,AWS_us-east-1,90.8,56.76,0.52
HOST-01346,Azure_westeurope,45.1,123.83,0.45
HOST-01347,AWS_ap-northeast-1,91.0,31.58,0.64
HOST-01348,AWS_us-east-1,69.7,20.89,0.52
HOST-01349,Azure_westeurope,88.4,13.23,0.45
HOST-01350,AWS_ap-northeast-1,52.9,11.81,0.64
HOST-01351,AWS_us-east-1,72.3,70.03,0.52
HOST-01352,Azure_westeurope,10.1,20.84,0.45
HOST-01353,AWS_ap-northeast-1,12.0,43.75,0.64
HOST-01354,AWS_us-east-1,33.3,50.85,0.52
HOST-01355,Azure_westeurope,11.6,72.58,0.45
HOST-01356,AWS_ap-northeast-1,93.1,60.14,0.64
HOST-01357,AWS_us-east-1,52.9,105.54,0.52
HOST-01358,Azure_westeurope,54.2,20.52,0.45
HOST-01359,AWS_ap-northeast-1,26.9,26.66,0.64
HOST-01360,AWS_us-east-1,71.9,35.17,0.52
HOST-01361,Azure_westeurope,51.2,36.72,0.45
HOST-01362,AWS_ap-northeast-1,50.2,14.18,0.64
HOST-01363,AWS_us-east-1,34.1,51.87,0.52
HOST-01364,Azure_westeurope,83.0,6.93,0.45
HOST-01365,AWS_ap-northeast-1,45.3,7.41,0.64
HOST-01366,AWS_us-east-1,21.2,138.81,0.52
HOST-01367,Azure_westeurope,24.6,27.4,0.45
HOST-01368,AWS_ap-northeast-1,29.0,21.61,0.64
HOST-01369,AWS_us-east-1,19.5,85.1,0.52
HOST-01370,Azure_westeurope,32.7,102.58,0.45
HOST-01371,AWS_ap-northeast-1,45.1,27.3,0.64
HOST-01372,AWS_us-east-1,37.9,99.81,0.52
HOST-01373,Azure_westeurope,11.6,6.6,0.45
HOST-01374,AWS_ap-northeast-1,72.2,11.4,0.64
HOST-01375,AWS_us-east-1,19.0,43.38,0.52
HOST-01376,Azure_westeurope,34.0,9.31,0.45
HOST-01377,AWS_ap-northeast-1,52.2,49.8,0.64
HOST-01378,AWS_us-east-1,55.2,119.07,0.52
HOST-01379,Azure_westeurope,79.9,68.35,0.45
HOST-01380,AWS_ap-northeast-1,42.2,22.94,0.64
HOST-01381,AWS_us-east-1,10.6,23.39,0.52
HOST-01382,Azure_westeurope,81.8,38.51,0.45
HOST-01383,AWS_ap-northeast-1,44.1,35.96,0.64
HOST-01384,AWS_us-east-1,29.0,10.27,0.52
HOST-01385,Azure_westeurope,66.1,44.28,0.45
HOST-01386,AWS_ap-northeast-1,63.6,192.35,0.64
HOST-01387,AWS_us-east-1,85.4,18.25,0.52
HOST-01388,Azure_westeurope,48.7,19.95,0.45
HOST-01389,AWS_ap-northeast-1,56.8,35.64,0.64
HOST-01390,AWS_us-east-1,24.4,168.39,0.52
HOST-01391,Azure_westeurope,11.8,42.41,0.45
HOST-01392,AWS_ap-northeast-1,61.9,19.19,0.64
HOST-01393,AWS_us-east-1,79.2,23.04,0.52
HOST-01394,Azure_westeurope,94.0,32.37,0.45
HOST-01395,AWS_ap-northeast-1,78.8,30.51,0.64
HOST-01396,AWS_us-east-1,45.6,33.73,0.52
HOST-01397,Azure_westeurope,71.1,40.82,0.45
HOST-01398,AWS_ap-northeast-1,54.5,75.31,0.64
HOST-01399,AWS_us-east-1,25.8,24.71,0.52
HOST-01400,Azure_westeurope,34.4,57.41,0.45
HOST-01401,AWS_ap-northeast-1,72.2,23.11,0.64
HOST-01402,AWS_us-east-1,20.2,42.01,0.52
HOST-01403,Azure_westeurope,61.1,146.94,0.45
HOST-01404,AWS_ap-northeast-1,52.8,23.46,0.64
HOST-01405,AWS_us-east-1,23.0,26.73,0.52
HOST-01406,Azure_westeurope,19.5,6.73,0.45
HOST-01407,AWS_ap-northeast-1,13.3,9.54,0.64
HOST-01408,AWS_us-east-1,37.5,121.61,0.52
